account,sku,offer_id,name,campaign,bid_now,ceiling,margin_pct,qty_90d,revenue_90d,reason
oz_acc1,1131187738,4941,Фотобарабан 70C0Z50 для принтеров Lexmark LaserPrinter CS310,от 10000 до 500 тыс,12.0,1271.2,23.5,0,0,маржа ниже KPI
oz_acc1,1131187872,4932,"Картриджи 74C5SKE-74C5SYE для принтеров Lexmark CS720, CS720",от 10000 до 500 тыс,12.0,682.7,24.6,0,0,маржа ниже KPI
oz_acc1,1131187872,4932,"Картриджи 74C5SKE-74C5SYE для принтеров Lexmark CS720, CS720",Пустые РК,12.0,682.7,24.6,0,0,маржа ниже KPI
oz_acc1,1141050878,5099,Картридж PU-120 для принтеров Kyocera и FS-1030D черный,от 10000 до 500 тыс,12.0,1414.3,24.2,0,0,маржа ниже KPI
oz_acc1,1141050899,5081,Картриджи TN-713 для принтеров Konica Minolta AccurioPrint C,от 10000 до 500 тыс,12.0,2051.3,23.7,0,0,маржа ниже KPI
oz_acc1,1141051003,5090,"Фотобарабан DR-711K для принтеров Konica Minolta Bizhub 654,",от 10000 до 500 тыс,12.0,823.4,24.6,0,0,маржа ниже KPI
oz_acc1,1141051870,5101,"Фотобарабан DK-3150 для принтеров Kyocera EcoSys M3040idn, E",от 10000 до 500 тыс,12.0,879.3,24.7,0,0,маржа ниже KPI
oz_acc1,1141051870,5101,"Фотобарабан DK-3150 для принтеров Kyocera EcoSys M3040idn, E",Эксперимент1,8.0,879.3,24.7,0,0,маржа ниже KPI
oz_acc1,1153214460,0372,Картриджи C9720A-C9723A для принтеров HP Color LaserJet 4600,от 10000 до 500 тыс,12.0,657.8,24.5,0,0,маржа ниже KPI
oz_acc1,1153215189,0357,Картриджи Q5950A-Q5953A для принтеров HP Color LaserJet 4700,от 10000 до 500 тыс,12.0,1156.2,24.8,0,0,маржа ниже KPI
oz_acc1,1153215189,0357,Картриджи Q5950A-Q5953A для принтеров HP Color LaserJet 4700,Эксперимент1,8.0,1156.2,24.8,0,0,маржа ниже KPI
oz_acc1,1153384638,1442,Картридж 44059212-44059209 для принтеров OKI и C860,от 10000 до 500 тыс,12.0,902.2,24.6,0,0,маржа ниже KPI
oz_acc1,1153725193,1954,"Картридж C-EXV16Y для принтеров Canon CLC 4141, CLC 4040 жел",Эксперимент1,8.0,383.9,25.0,0,0,маржа ниже KPI
