external_code;продаж_90д_acc1;продаж_90д_acc2;продаж_90д_всего;наш_объём_л;внеш_объём_л;лишних_л_на_единицу;лишних_л_за_период;наш_ДхШхВ;внеш_ДхШхВ;число_источников;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
0874;0;0;0;11.1;6.875;4.225;0.0;37.0x20.0x15.0;33.2x16.7x12.4;3;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r527;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0875;0;0;0;10.8;10.134;0.666;0.0;36.0x20.0x15.0;34.5x23.5x12.5;4;3;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r223;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0888;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;3;4;4;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1563;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0889;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1564;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0890;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1565;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0891;0;0;0;11.1;5.056;6.044;0.0;37.0x20.0x15.0;35.0x13.5x10.7;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1566;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0897;0;0;0;1.2;0.242;0.958;0.0;15.0x10.0x8.0;8.5x7.5x3.8;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1024;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0902;0;0;0;1.2;0.21;0.99;0.0;15.0x10.0x8.0;10.5x8.0x2.5;2;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r353;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0918;0;0;0;1.2;0.189;1.011;0.0;15.0x10.0x8.0;9.0x7.0x3.0;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r476;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0919;0;0;0;1.2;0.189;1.011;0.0;15.0x10.0x8.0;9.0x7.0x3.0;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r477;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0920;0;0;0;1.2;0.189;1.011;0.0;15.0x10.0x8.0;9.0x7.0x3.0;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r478;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0924;0;0;0;1.2;0.189;1.011;0.0;15.0x10.0x8.0;9.0x7.0x3.0;2;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r481;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0925;0;0;0;1.2;0.189;1.011;0.0;15.0x10.0x8.0;9.0x7.0x3.0;2;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r482;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0950;0;0;0;1.2;0.18;1.02;0.0;15.0x10.0x8.0;10.0x6.0x3.0;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r533;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0951;0;0;0;1.2;0.18;1.02;0.0;15.0x10.0x8.0;10.0x6.0x3.0;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r534;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0953;0;0;0;1.2;0.226;0.974;0.0;15.0x10.0x8.0;9.0x6.8x3.7;4;7;8;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r42;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0954;0;0;0;1.2;0.15;1.05;0.0;15.0x10.0x8.0;10.0x6.0x2.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r536;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0955;0;0;0;1.2;0.15;1.05;0.0;15.0x10.0x8.0;10.0x6.0x2.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r537;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0956;0;0;0;1.2;0.15;1.05;0.0;15.0x10.0x8.0;10.0x6.0x2.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1020;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0958;0;0;0;1.2;0.517;0.683;0.0;15.0x10.0x8.0;15.0x11.5x3.0;4;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2770;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0976;0;0;0;11.1;0.416;10.684;0.0;37.0x20.0x15.0;13.5x8.8x3.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r570;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0977;0;0;0;11.1;0.416;10.684;0.0;37.0x20.0x15.0;13.5x8.8x3.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r571;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0978;0;0;0;11.1;0.416;10.684;0.0;37.0x20.0x15.0;13.5x8.8x3.5;4;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r572;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0986;0;0;0;11.1;6.709;4.391;0.0;37.0x20.0x15.0;33.2x16.7x12.1;2;5;5;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r583;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0987;0;0;0;11.1;2.753;8.347;0.0;37.0x20.0x15.0;30.5x9.5x9.5;2;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r561;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
