external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
1727;37.0x20.0x15.0;320.0;155.0;140.0;32.0x15.5x14.0;CS-LX60F5X00;cactus;2;1;cactus,sakura;18.0;solutionsprint:85.0;2;11.1;6.944;4.156;0;0.0;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2345;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2019;37.0x20.0x15.0;550.0;95.0;95.0;55.0x9.5x9.5;CR-KMTN216M;cactus;2;1;cactus,sakura;15.0;нет данных;3;11.1;4.964;6.136;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3650;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2020;37.0x20.0x15.0;550.0;95.0;95.0;55.0x9.5x9.5;CR-KMTN216Y;cactus;2;1;cactus,sakura;17.0;нет данных;3;11.1;4.964;6.136;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3651;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2152;37.0x20.0x15.0;330.0;114.0;105.0;33.0x11.4x10.5;SACF540A;sakura;2;1;cactus,sakura;15.0;нет данных;2;11.1;3.95;7.15;0;0.0;3;3;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1042;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2153;37.0x20.0x15.0;327.0;111.0;101.0;32.7x11.1x10.1;SACF541A;sakura;2;1;cactus,sakura;11.0;нет данных;2;11.1;3.666;7.434;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1044;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2154;37.0x20.0x15.0;328.0;113.0;101.0;32.8x11.3x10.1;SACF542A;sakura;2;1;cactus,sakura;13.0;нет данных;2;11.1;3.743;7.357;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1046;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2155;37.0x20.0x15.0;327.0;113.0;101.0;32.7x11.3x10.1;SACF543A;sakura;2;1;cactus,sakura;13.0;нет данных;2;11.1;3.732;7.368;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1048;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2346;37.0x20.0x15.0;200.0;70.0;70.0;20.0x7.0x7.0;SA106R03695;sakura;2;1;izi,sakura;10.0;solutionsprint:10.0;2;11.1;0.98;10.12;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1345;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2608;10.0x8.0x5.0;130.0;45.0;45.0;13.0x4.5x4.5;CS-T6642C;cactus;2;2;cactus,sakura;7.5;solutionsprint:15.0;2;0.4;0.263;0.137;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3352;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2609;10.0x8.0x5.0;130.0;45.0;45.0;13.0x4.5x4.5;CS-T6643M;cactus;2;2;cactus,sakura;7.5;solutionsprint:15.0;2;0.4;0.263;0.137;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3353;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2650;37.0x20.0x15.0;352.0;173.0;121.0;35.2x17.3x12.1;SASPC250EBK;sakura;2;1;cactus,sakura;18.0;нет данных;2;11.1;7.368;3.732;0;0.0;5;5;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r466;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2651;36.0x20.0x15.0;349.0;174.0;123.0;34.9x17.4x12.3;SASPC250EC;sakura;2;1;cactus,sakura;19.0;нет данных;2;10.8;7.469;3.331;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r467;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2652;36.0x20.0x15.0;349.0;174.0;123.0;34.9x17.4x12.3;SASPC250EM;sakura;2;1;cactus,sakura;19.0;нет данных;2;10.8;7.469;3.331;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r468;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2653;36.0x20.0x15.0;349.0;174.0;123.0;34.9x17.4x12.3;SASPC250EY;sakura;2;1;cactus,sakura;19.0;нет данных;2;10.8;7.469;3.331;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r469;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2726;37.0x20.0x15.0;306.0;71.0;62.0;30.6x7.1x6.2;SA46508735;sakura;2;1;cactus,sakura;9.0;нет данных;2;11.1;1.347;9.753;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r575;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2727;37.0x20.0x15.0;304.0;71.0;63.0;30.4x7.1x6.3;SA46508734;sakura;2;1;cactus,sakura;9.0;нет данных;2;11.1;1.36;9.74;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r576;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2728;37.0x20.0x15.0;306.0;70.0;62.0;30.6x7.0x6.2;SA46508733;sakura;2;1;cactus,sakura;8.0;нет данных;2;11.1;1.328;9.772;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r577;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
2884;37.0x20.0x15.0;550.0;95.0;95.0;55.0x9.5x9.5;CR-CAEXV49C;cactus;2;1;cactus,sakura;15.0;solutionsprint:25.0;4;11.1;4.964;6.136;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3631;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2885;37.0x20.0x15.0;550.0;95.0;95.0;55.0x9.5x9.5;CR-CAEXV49M;cactus;2;1;cactus,sakura;17.0;solutionsprint:25.0;4;11.1;4.964;6.136;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3632;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2886;37.0x20.0x15.0;550.0;95.0;95.0;55.0x9.5x9.5;CR-CAEXV49Y;cactus;2;1;cactus,sakura;15.0;solutionsprint:25.0;4;11.1;4.964;6.136;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3633;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2954;37.0x20.0x15.0;300.0;100.0;95.0;30.0x10.0x9.5;CS-CF218XL;cactus;2;1;cactus,sakura;8.0;solutionsprint:90.0;2;11.1;2.85;8.25;0;0.0;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r330;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2971;37.0x20.0x15.0;306.0;115.0;96.0;30.6x11.5x9.6;SACRG049;sakura;2;1;cactus,sakura;20.0;solutionsprint:27.0;2;11.1;3.378;7.722;0;0.0;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1214;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3018;37.0x20.0x15.0;420.0;70.0;70.0;42.0x7.0x7.0;LC-034Y;izi;2;1;izi,sakura;20.0;нет данных;2;11.1;2.058;9.042;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1308;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3019;37.0x20.0x15.0;420.0;70.0;70.0;42.0x7.0x7.0;LC-034M;izi;2;1;izi,sakura;20.0;нет данных;2;11.1;2.058;9.042;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1307;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3020;37.0x20.0x15.0;420.0;70.0;70.0;42.0x7.0x7.0;LC-034C;izi;2;1;izi,sakura;20.0;нет данных;2;11.1;2.058;9.042;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1306;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3021;37.0x20.0x15.0;420.0;70.0;70.0;42.0x7.0x7.0;LC-034BK;izi;2;1;izi,sakura;20.0;solutionsprint:20.0;2;11.1;2.058;9.042;0;0.0;4;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1305;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3047;8.0x8.0x5.0;110.0;52.0;29.0;11.0x5.2x2.9;IC-CCLI-481BK XXL;izi;3;1;cactus,izi,sakura;11.0;solutionsprint:60.0;3;0.32;0.166;0.154;0;0.0;8;8;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r407;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3051;12.0x12.0x5.0;110.0;52.0;29.0;11.0x5.2x2.9;IC-CCLI-481Y XXL;izi;3;1;cactus,izi,sakura;11.0;solutionsprint:60.0;3;0.72;0.166;0.554;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r411;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3061;37.0x20.0x15.0;320.0;140.0;120.0;32.0x14.0x12.0;CS-TK5290C;cactus;2;1;cactus,sakura;20.0;нет данных;3;11.1;5.376;5.724;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r905;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3062;37.0x20.0x15.0;320.0;140.0;120.0;32.0x14.0x12.0;CS-TK5290M;cactus;2;1;cactus,sakura;20.0;нет данных;3;11.1;5.376;5.724;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r904;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3063;37.0x20.0x15.0;320.0;140.0;120.0;32.0x14.0x12.0;CS-TK5290Y;cactus;2;1;cactus,sakura;20.0;нет данных;3;11.1;5.376;5.724;0;0.0;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r903;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
