external_code;article;название;источник_возврата
0010;NV-CC388A;Картридж NVP совместимый HP CC388A для LJ P1007/1008 (2000k);
0012;131950, 1372, 200130143, 2001301450;Картридж лазерный Cactus CS-Q5949AS Q5949A черный (2500стр.) для HP LJ 1160/1320/3390/3392;
0014;;Совместимый картридж Colortek ML-1610D2;
0027;110251, 128328, 146125, 146126;Картридж лазерный Cactus CS-CE505XR черный (6500стр.) для HP LJ P2050/P2055/P2055D/P2055DN;
0031;11401, 22013301, 22013302, AFHPLJ5200050;Картридж Sakura Q7516A (16A) для HP LJ 5200, черный, 12000 к.;
0042;8515, 98052090131, AQ CLP300Y/6110, BS-SgCLPY300A;Картридж лазерный Cactus CS-CLP-Y300A желтый (1000стр.) для Samsung CLP-300/300N/CLX-3160N;
0043;10680, BS-X106R01206, CS-PH6110C, GP_106R01206_C;Картридж лазерный Cactus CS-PH6110C 106R01206 голубой (1000стр.) для Xerox Phaser 6110;
0044;10681, 106R01203, BS-X106R01203, CS-PH6110BK;Картридж лазерный Cactus CS-PH6110BK 106R01203 черный (2000стр.) для Xerox Phaser 6110;
0086;CS-C725D, CS-C725X-MPS, SF-725;Картридж лазерный Cactus CS-C725D черный двойная упак. (1600стр.) для Canon LBP i-Sensys 6;
0108;NPG-28;Совместимый картридж Colortek NPG-28;
0124;6632-1, BS-KX-FA52, KX-FA52A PL, NV-KX-FA52;Термопленка KX-FA52A 2 в 1 PL;
0143;1488-1, CG_T03814A_BK, PL_03814, SF-T038Bk;Картридж T038 BK CG;
0144;1489-1, PL_03904, SF-T039C, SP26224;Картридж T039 iСl (цветной) SP;
0205;AFHPLJ1102090, AT-CE285XL U 3K, CG_CE285X/725, CS-CE285X-MPS;Картридж для HP CE285XL/435/436/C725/712/713 3K AQUAMARINE (Совместимый);
0224;BS-C-EXV6, CS-EXV6, GP_C-EXV6/NPG-15, NV-CEXV6/NPG15;Картридж лазерный Cactus CS-EXV6 черный (7600стр.) для Canon NP7160/7161/7162/7164/7210/72;
0225;14170;Картридж C-EXV6/NPG-15 CT;
0226;20671, BS-C-EXV7, CS-EXV7, GP_C-EXV7;Картридж лазерный Cactus CS-EXV7 черный (5300стр.) для Canon IR 1200/1210/1230/1270/1270F/;
0228;8900, AFEPL62000030, BS-EPLS050166, CS-EPS166;Тонер-картридж S050166 6000 копий GalaPrint;
0260;14474, 9896840, 9896841, AARXWCM118040;Картридж лазерный Cactus CS-WC118 006R01179 черный (11000стр.) для Xerox WorkCentre C118/M;
0281;CT-92274A, PL_92274A;Картридж 92274A CT;
0289;1467-1, CG_07401, PL_07401, SF-T007Bk;Картридж T007;
0290;1468-1, PL_T08401_C/Y/M, SF-T008C, SP26246;Картридж T008 iСl (цветной) SP;
0328;110366, 15011974291, 5219270000, AT-CN684HEBk;Картридж Hi-Black (HB-CN684HE) для HP Photosmart C5383/C6383/B8553/D5463, №178XL, Bk;
0359;109686, BFHPLJ4540010, BS-HPCE264X, CS-CE264XV;Картридж CE264X (№646X) 17000 копий ProfiLine;
0360;109687, BFHPLJ4540020, CS-CF031AV, NV-CF031AC;Картридж лазерный Cactus CS-CF031AV голубой (12500стр.) для HP CLJ CM4540;
0361;109688, BFHPLJ4540030, CS-CF032AV, NV-CF032AY;Картридж лазерный Cactus CS-CF032AV желтый (12500стр.) для HP CLJ CM4540;
0362;109689, BFHPLJ4540040, CS-CF033AV, GP_CF033A_M;Картридж CF033A (№646A) Magenta GP;
0389;19182, BS-HPQ2681A, CS-Q2681AV, NV-Q2681AC;Картридж лазерный Cactus CS-Q2681AV голубой (6000стр.) для HP CLJ 3700;
0390;19181, CS-Q2682AV, NV-Q2682AY, SF-Q2682A;Картридж лазерный Cactus CS-Q2682AV желтый (6000стр.) для HP CLJ 3700;
0391;19180, CS-Q2683AV, NV-Q2683AM, SF-Q2683A;Картридж лазерный Cactus CS-Q2683AV пурпурный (6000стр.) для HP CLJ 3700;
0392;16350, BS-HPQ3960A, CS-Q3960AR, NV-Q3960ABk;Картридж лазерный Cactus CS-Q3960AR черный (5000стр.) для HP LJ 2550/2550L/2550LN/2550N;
0393;16351, BS-HPQ3961A, CS-Q3961AR, NV-Q3961AC;Картридж лазерный Cactus CS-Q3961AR голубой (4000стр.) для HP LJ 2550/2820/2840;
0395;16353, BS-HPQ3963A, CS-Q3963AR, NV-Q3963AM;Картридж лазерный Cactus CS-Q3963AR пурпурный (4000стр.) для HP LJ 2550/2820/2840;
0412;15569, BFHPLJ4600020, BS-HPC9721A, CS-C9721AR;$$$_СРОЧНО Картридж Colortek HP C9721A С;
0415;1385, NV-C3903A, OEM C3903A, SP60043;Тонер Картридж C3903A SP;
0419;1397, 92298X;Картридж 92298X CT;
0420;22962, OEM C4191A;Картридж HP C4191A CLJ 4500/4550 9K Black Compatible;
0421;22963, NV-C4192AC, OEM C4192A;Картридж HP C4192A CLJ 4500/4550 6K Cyan Compatible;
0422;22964, OEM C4193A;Картридж HP C4193A CLJ 4500/4550 6K Magenta Compatible;
0423;22965, NV-C4194AY, OEM C4194A;Картридж HP C4194A CLJ 4500/4550 6K Yellow Compatible;
0427;PL_C6614A;Совместимый картридж Colortek 20;
0428;1580-1, 51629A, PL_51629A;Картридж HP 29 (51629A) Original;
0431;21079, AT-C4841A;Картридж для HP C4841A №10  BIJ 2000/2500/DJ ColorPro CAD/GA 28 ml  Cyan AQUAMARINE (Совме;
0432;21082, AT-C4843A;Картридж для HP C4843A №10 BIJ 2000/2500/DJ ColorPro CAD/GA 28 ml  Magenta AQUAMARINE (Сов;
0433;21081, AT-C4842A;Картридж для HP C4842A №10 BIJ 2000/2500/DJ ColorPro CAD/GA 28 ml  Yellow AQUAMARINE (Совм;
0445;FX-8;Картридж FX-8;
0446;1550-1, SP26188, SP26188_MSK, SP26194;Картридж BCI-3e iС (синий) SP;
0447;1552, SP26190, SP26190_MSK, SP26200;Картридж bci-3/ bci-6 iY (желтый) SP;
0456;11331, BS-EPLS050229, S050229 BK;Картридж S050229 BK PL;
0460;10984, AFEPL62000040, BS-EPLS051099, NV-S051099;Картридж Colortek Epson C13S051099 (DU) (6200);
0461;8901, BS-EPLS050100, PL_S050100_BK;Тонер-картридж S050100 Black 4500 копий ProfiLine;
0462;8904, BFEPAC9000080, BS-EPLS050097, SP26219;Картридж S050097 Y CT;
0463;8903, BFEPAC9000070, BS-EPLS050098, SP26218;Цветной тонер картридж S050098 M SP;
0464;8902, BFEPAC9000060, BS-EPLS050099;Картридж Epson LS050099 для AcuLaser C900/C1900S, cyan, 4500 стр. Blossom;
0469;BS-EPLS050614, SP69830, SP69830_MSK;Цветной тонер картридж S050614 BK SP;
0470;BS-EPLS050611;Картридж S050611 Y BS;
0471;BS-EPLS050612;Картридж S050612 M BS;
0472;BS-EPLS050613;Картридж S050613 C BS;
0473;104812, BS-EPLS050630, S050630 PL, SP69826;Картридж Colortek Epson C13S050630 C2900 Black;
0474;104811, BS-EPLS050629;Картридж Colortek Epson C13S050629 C2900 Cyan;
0475;104810, BS-EPLS050628, SP69828, SP69828_MSK;Цветной тонер картридж S050628 M SP;
0476;104808, BS-EPLS050627, SP69829, SP69829_MSK;Картридж Colortek Epson C13S050627 C2900 Yellow;
0477;1474-1, PL_17401, SP26248, SP26248_MSK;Картридж T017 iBk (черный) SP;
0478;1475-1, PL_18401, SP26249, SP26249_MSK;Картридж T018 iСl (цветной) SP;
0479;1478, CG_26401, PL_26401, SP26858;Совместимый картридж SolutionPrint T026;
0480;1479-1, CG_27401, PL_27401;Совместимый картридж ProfiLine T027;
0481;1482-1, PL_036140, SP26221, SP26221_MSK;Картридж T036 CT;
0482;1483-1, PL_037040, SP26222, SP26222_MSK;Картридж T037 Col CT;
0483;1490-1, HB-T0401, IT-C13T040140, PL_040140;Совместимый картридж Colouring T040;
0484;1492-1, CG_041040, HB-T0410, PL_041040;Картридж T041 SP;
0485;1470-1;Картридж T013 BK CT;
0486;1471, PL_52040/14401, PL_T14401_C/Y/M, SP26247;Картридж T014 iСl (цветной) SP;
0487;9996-1, PL_066, SP26252, SP26252_MSK;Картридж T066 CT;
0488;9997-1, PL_067, SP26253, SP26253_MSK;Картридж T067 iСl (цветной) SP;
0489;2724-1, PL_0431, SP26227, SP26227_MSK;Картридж T0441 (C13T04414010) SP;
0490;1519-1, PL_0442, PL_T0442_C, SP26228;Картридж T0442 iС (синий) SP;
0491;1520-1, PL_0443, SP26230, SP26230_MSK;Картридж T0443 iМ (красный) SP;
0492;1521-1, PL_0444, SP26231, SP26231_MSK;Картридж T0444 iY (желтый) SP;
0493;1522-1, PL_046140, SF-T0461Bk, SP26232;Картридж T0461 black CT;
0494;1523-1, PL_047240, PL_T0472_C, SF-T0472C;Картридж Epson T0472 ST C63/65 Photo Edition Cyan SuperFine;
0495;1524-1, PL_047340, SF-T0473M, SP26234;Картридж Epson T0473 ST C63/65 Photo Edition Magenta SuperFine;
0496;1525-1, PL_047440, SF-T0474Y, SP26235;Картридж T0474 iY (желтый) SP;
0504;SF-12A8400;Картридж Lexmark E230 12A8405 6K SuperFine;
0505;BS-Lx13T0301, PL_13T0301;Картридж 13T0301 PL;
0508;1443-1, BS-Lx10S0150, NV-10S0150;Картридж NVP совместимый Lexmark 10S0150;
0509;12S0400, 14730;Картридж Colortek Lexmark Optra E-220/E321/E323 (12S0400) 3k;
0510;08A0477;Картридж 08A0477;
0511;19966;Картридж 12A7415 CT;
0512;SP37340, SP37340_MSK;Тонер Картридж 12A8320/ 12A8325/ 12A8420/ 12A8425 SP;
0517;15489, BS-42804508, CS-C5100BK, NV-42127408;Картридж лазерный Cactus CS-C5100BK 42127408 черный (5000стр.) для Oki C 5100/5200/5300/54;
0518;15490, BS-42804568, CS-C5100C;Картридж лазерный Cactus CS-C5100C 42127407 голубой (5000стр.) для Oki C 5100/5200/5300/54;
0519;15492, BS-42804505, CS-C5100Y;Картридж лазерный Cactus CS-C5100Y 42127405 желтый (5000стр.) для Oki C 5100/5200/5300/540;
0520;15491, CS-C5100M;Картридж лазерный Cactus CS-C5100M 42127406 пурпурный (5000стр.) для Oki C 5100/5200/5300/;
0528;10514, BS-KX-FA85A, KX-FA85A PL, NV-KXFA85A;Картридж KX-FA85A BS;
0529;10515, BS-KX-FA86A, NV-KXFAD86A, SAKXFA86A7;Картридж Panasonic KX-FA86A барабан для KX-FLB813/833/853/858, 10000 стр.,Blossom;
0532;16332, BS-TK65, NV-TK65;Картридж Colortek Kyocera TK-65;
0533;16333, NV-TK70;Картридж Colortek Kyocera TK-70;
0540;BS-TK520K, NV-TK520Bk;Картридж TK-520 BK NV;
0541;BS-TK520C, NV-TK520C;Картридж TK-520 C BS;
0542;BS-TK520M, NV-TK520M;Картридж TK-520 M NV;
0543;BS-TK520Y, NV-TK520Y;Картридж TK-520 Y BS;
0544;BAMTFSC502010, NV-TK510Bk, SP, SP50750_MSK;Картридж TK-510BK SP;
0545;SP50747, SP50747_MSK;Картридж TK-510C SP;
0546;NV-TK510M, SP5250, SP5250_MSK;Картридж NVP совместимый NV-TK-510 Magenta;
0547;109676;Картридж TK-510Y CT;
0548;BS-TK825K, NV-TK825Bk;Картридж NVP совместимый NV-TK-825 Black;
0549;BS-TK825C, NV-TK825C;Картридж NVP совместимый NV-TK-825 Cyan;
0550;BS-TK825M, NV-TK825M;Картридж Kyocera Mita TK-825M для KM-C2520/C2525/C3225/C3232, Magenta, 7000 стр.,Blossom;
0551;BS-TK825Y, NV-TK825Y;Картридж Kyocera Mita TK-825Y для KM-C2520/C2525/C3225/C3232, Yellow, 7000 стр.,Blossom;
0556;SP69847, SP69847_MSK;Цветной тонер картридж TK-550 BK SP;
0557;SP69848, SP69848_MSK;Цветной тонер картридж TK-550 C SP;
0558;SP69849, SP69849_MSK;Цветной тонер картридж TK-550 M SP;
0559;SP69850, SP69850_MSK;Цветной тонер картридж TK-550 Y SP;
0560;20444, NV-TK50, SP58075, SP58075_MSK;Картридж Colortek Kyocera TK-50;
0562;SP63627, SP63627_MSK;Картридж KM-1505 SP;
0563;103061, BS-KM-1525, PL_KM-1525, SF-KM1530;Картридж Kyocera KM1525/1530/2030 11.1K SuperFine;
0569;1461, NV-TN8000, OEM TN8000, PL_TN-8000;Картридж BROTHER TN8000 FAX-2850/8070/MFC-4800/6800/9030 2.2K Compatible;
0570;BS-BrDR8000, NV-DR8000, OEM DR8000;Картридж Brother DR-8000 для FAX-2850/8070P/MFC-4800/9030/9070/9160/9180, 8000 стр.,Blosso;
0571;PL_TN-130BK_BK, TN-130BK;Картридж TN-130BK Black 2500 копий ProfiLine;
0575;15275, BFBRHL4040010, BS-BrTN135Bk, CS-TN135BK;Картридж лазерный Cactus CS-TN135BK черный (5000стр.) для Brother DCP-9040/9042/9045/HL-40;
0599;1446, 1447, BS-X603P06174, NV-113R00296(603P06174);Картридж Xerox 603P06174/113R00296 Принт-картридж для DocuPrint P8e/P8ex, 5000 стр.,Blosso;
0600;10238, 106R00442, BS-X106R00442;Картридж Colortek Xerox 106R00442 P1210;
0604;10237, BS-X106R00462;Картридж Colortek Xerox 106R00462 3400;
0622;7126, BS-X106R00586, GP_106R00586, NV-106R00586;Тонер Картридж 106R00586 SP;
0623;10074, NV-113R00663, SP67591, SP67591_MSK;Картридж Colortek Xerox 113R00663 (DU) 312/412/M15;
0624;16960, 9893200, CS-WC315D, DARXWC4150010;Картридж лазерный Cactus CS-WC315D 006R01044 черный x2упак. (6000стр.) для Xerox WorkCentr;
0625;14476, BS-X113R00619, PL_113R00619;Картридж 113R00619 CT;
0628;BS-X106R00684, PL_106R00684_BK, SF-106R00684, SP50757;$$$_СРОЧНО * СПБ* Цветной тонер картридж 106R00684 Bk SP;
0636;BS-X106R00671, CS-PH6250, NV-106R00671, SP50777;Картридж лазерный Cactus CS-PH6250 106R00671 черный (4000стр.) для Xerox Phaser 6250;
0637;17169, BS-X106R00668, CS-PH6250C, SP50778;Картридж лазерный Cactus CS-PH6250C 106R00668 голубой (4000стр.) для Xerox Phaser 6250;
0638;17160, BS-X106R00669, CS-PH6250M, SP50779;Картридж Colortek Xerox 106R00669 Magenta (6250);
0639;17161, BS-X106R00670, CS-PH6250Y;Картридж Colortek Xerox 106R00670 Yellow (6250);
0640;109593, SP60025, SP60025_MSK;Картридж Colortek Xerox 106R01391 Black (6280) 3k;
0641;109594, SP60026, SP60026_MSK;Цветной тонер картридж 106R01388/ 106R01400  C SP;
0642;109595, SP60027, SP60027_MSK;Картридж Colortek Xerox 106R01389 Magenta (6280) 2.2k;
0643;109596;Картридж Colortek Xerox 106R01390 Yellow (6280) 2.2k;
0648;SP50789, SP50789_MSK;Цветной тонер картридж 016197600/ 016198000 Bk SP;
0649;SP50794, SP50794_MSK;Цветной тонер картридж 016197300/ 016197700 C SP;
0650;SP50795, SP50795_MSK;Цветной тонер картридж 016197400/ 016197800 M SP;
0651;SP50796, SP50796_MSK;Цветной тонер картридж 016197500/ 016197900 Y SP;
0668;BS-X106R01076, NV-106R01076Bk, SF-106R01076, SP60021;Цветной тонер картридж 106R01085/ 106R01076  Bk SP;
0670;NV-106R01074M, SF-106R01074, SP60023, SP60023_MSK;Цветной тонер картридж 106R01083/ 106R01074 M SP;
0671;SF-106R01073, SP60022, SP60022_MSK;Картридж Xerox 106R01073 Phaser 6300/6350 4K Cyan SuperFine;
0684;NV-1305, SP124129, SP124129_MSK;Тонер-картридж 1305 SP;
0686;SP50809, SP50809_MSK;$$$_СРОЧНО Цветной тонер картридж CLP-500D7K SP;
0687;SP50810, SP50810_MSK;Цветной тонер картридж CLP-500D5C SP;
0688;SP50811, SP50811_MSK;Цветной тонер картридж CLP-500D5M SP;
0689;SP50812, SP50812_MSK;Цветной тонер картридж CLP-500D5Y SP;
0690;CLP-K600A;Картридж CLP-K600A;
0691;CLP-C600A;Картридж CLP-C600A;
0692;CLP-M600A, SP50819, SP50819_MSK;Цветной тонер картридж CLP-M600A SP;
0693;CLP-Y600A, SP50820, SP50820_MSK;Цветной тонер картридж CLP-Y600A SP;
0698;127293, BS-SgCLP-510D7K, NV-CLPK510D7Bk;Совместимый картридж NVP CLP-510D7K;
0699;127294, BS-SgCLP-510D5C, NV-CLPC510D5C;Совместимый картридж NVP CLP-510D5C;
0700;127295, BS-SgCLP-510D5M, NV-CLPM510D5M, SP50815;Цветной тонер картридж CLP-M510 SP;
0701;127296, BS-SgCLP-510D5Y, NV-CLPY510D5Y, PL_CLP-510D5Y;Картридж CLP-510 Y NV;
0703;14410, BS-SgSCX5530, NV-SCXD5530A, WB SCX-D5530B/5330;Картридж SCX-5530;
0706;10221, BS-SgML2150, NV-ML2150D8, PL_ML-2150/2550;Картридж ML-2150 CT;
0707;105951, BS-SgMLT-D106S, GP_MLT-D106S, MLT-D106S PL;Картридж MLT-D106S BS;
0708;6919, AFSMML2250020, BS-SgML2250D5, GP_ML-2250D5;Тонер Картридж ML-2250D5/ Xerox 013R00606 SP;
0713;220010211, 220010212, 3799, AFHPLJ9000020;Картридж лазерный Cactus CS-C8543X-MPS черный (40000стр.) для HP LJ 9000/MFP 9040/9050;
0732;20965, BS-KM2530, BS-KM370AB000, DAMTKM2530040;Тонер-картридж Kyocera KM-2530 для KM2530/3530/3035/4035/4030/5035, Bk, 34K, Blossom;
0733;TN-300;Картридж TN-300;
0734;104524, 106R02182/2183, 106R02183 CG, 98956310347;Картридж Xerox 106R02182 /106R02183 Phaser 3010/3040/WC-3045 2.2K SuperFine;
0754;134410;Картридж Colortek HP CB436X;
0802;;Фотобумага А4/20/180 SP;
0803;SP42304, SP42304_MSK;Фотобумага Sprint Matt A4/100/108 SP;
0804;A4/25/135 PL;Фотобумага самоклеящаяся глянцевая A4/25/135 PL;
0805;0102035, 1873, SP28798, SP28798_MSK;Бумага А6/230/50 односторонняя глянцевая SF;
0806;113299, SP26351, SP26351_MSK;$$_СРОЧНО СРОЧНО Фотобумага Sprint Premium Glossy A6/20/180 SolutionPrint;
0807;БМ-180-10х15-25;Фотобумага матовая A6/25/180 PL;
0824;1480-1, IC-ET028, T028 CG;Картридж T028 BK CG;
0827;EP-P;Картридж EP-P;
0831;134603, AFCNIR2230010, AFCNIR2230020, BS-C-EXV11DU;Драм картридж C-EXV11/12D (9630A003) 75k SP;
0834;1476-1, IC-ET019 T2;Картридж T019 T2;
0835;1477-1;Совместимый картридж Colortek T020;
0836;1481;Картридж T029 Col CT;
0837;CG_T50140/13401_BK, SF-T050Bk;Совместимый картридж Colortek T050BK;
0842;5218490000, AT-T7011/21Bk XXL, BS-T7011, CS-EPT7011;Картридж для (T7011) EPSON WorkForce Pro WP-4015/4025/4515/4525/4535 Black MyInk;
0843;5218480000, AT-T7012/22C XXL, BS-T7012, CS-EPT7012;Картридж T7012 С CS;
0844;5218500000, AT-T7013/23M XXL, BS-T7013, CS-EPT7013;Картридж для (T7013) EPSON WorkForce Pro WP-4015/4025/4515/4525/4535 Magenta MyInk;
0845;5218970000, AT-T7014/24Y XXL, BS-T7014, CS-EPT7014;Картридж для (T7014) EPSON WorkForce Pro WP-4015/4025/4515/4525/4535 Yellow MyInk;
0846;;Картридж HP 901, черный;
0860;115356, 148769, 4010802120, BS-TK6305;Картридж лазерный Cactus CS-TK6305 TK-6305 черный (35000стр.) для Kyocera Mita TASKalfa 35;
0933;AT-T5591, BS-T5591, IC-ET5591, SF-T5591Bk;Картридж EPSON Т5591 до 04.2023 RX700 Black SuperFine;
0934;16254, AT-T5592, BS-T5592, IC-ET5592;Картридж EPSON Т5592 до 04.2023 RX700 Cyan SuperFine;
0935;16255, AT-T5593, BS-T5593, IC-ET5593;Совместимый картридж SuperFine T5593;
0936;AT-T5594, BS-T5594, IC-ET5594, SF-T5594Y;Картридж для Epson T5594 StylusPhoto RX700 Yellow 0.4K AQUAMARINE (Совместимый);
0937;AT-T5595, BS-T5595, IC-ET5595, SF-T5595LC;Картридж Blossom BS-T5595 для Epson RX700 Light cyan;
0938;16258, AT-T5596, BS-T5596, IC-ET5596;Картридж EPSON Т5596 RX700 LightMagenta SuperFine;
0982;121432, BS-43979211;Картридж 43979211/ 43979202 BS;
0985;131761, BS-01103402/01103409;Картридж OKI B4100/4200/4250/4300/4350,toner, 2500 cтр.,Blossom;
1002;15493, CS-O5600BK;Картридж лазерный Cactus CS-O5600BK черный (6000стр.) для Oki C5600/C5700;
1003;15494, CS-O5600C;Картридж лазерный Cactus CS-O5600C голубой (2000стр.) для Oki C5600/C5700;
1004;15495, CS-O5600M;Картридж лазерный Cactus CS-O5600M пурпурный (2000стр.) для Oki C5600/C5700;
1005;15496, CS-O5600Y, SP50701, SP50701_MSK;Картридж лазерный Cactus CS-O5600Y желтый (2000стр.) для Oki C5600/C5700;
1007;43324404 BK;Картридж 43324404 BK;
1009;43324402 M;Картридж 43324402 M;
1010;;Картридж 43324401, желтый;
1012;BFOK0C5850010, BS-43865744, SP50712, SP50712_MSK;Цветной тонер картридж 43865744 BK SP;
1013;BFOK0C5850020, SP50711, SP50711_MSK;Тонер-картридж БУЛАТ s-Line 43865723, 43865743 для Oki C5850 (Голубой, 6000 стр.), универс;
1014;BFOK0C5850030, BT-43865722/43865742, SP50710, SP50710_MSK;Цветной тонер картридж 43865742 M SP;
1015;BFOK0C5850040, SP50709, SP50709_MSK;Тонер-картридж БУЛАТ s-Line 43865721, 43865741 для Oki C5850 (Жёлтый, 6000 стр.), универса;
1017;220095930, BS-44315324/44315308, CS-O610BK, SP97333;Цветной тонер картридж 44315324/ 44315308 Bk SP;
1022;220095934, 44059108, 44059120 HB, BFOK0C8100050;Тонер-картридж Hi-Black (HB-44059120/44059108) для OKI C810/830, Bk, 8K;
1023;220095935, BFOK0C8100060, BS-44059107, HB-44059119/44059107;Тонер-картридж БУЛАТ s-Line 44059119 для Oki C810, C830 (Голубой, 8000 стр.);
1025;220095937, BFOK0C8100080, BS-44059105, HB-44059117/44059105;Тонер-картридж Hi-Black (HB-44059117/44059105) для OKI C810/830, Y, 8K;
1027;BS-43487712/43487724;Картридж 43487712/43487724 Bk BS;
1033;21181, BS-R-1250D;Картридж Colortek Ricoh 1250D/1150D;
1047;10076, BS-SgML3560, NV-ML-3560DB, SP104730;Тонер Картридж ML-3560DB / ML-3560D6  SP;
1048;19660, BS-SgML4550B, NV-ML4550B, WB MLT-D4550B;Картридж NVP совместимый NV-ML-4550B;
1054;;Картридж CLT-K506S;
1055;AQ CLT-С506L;Картридж для Samsung CLT-506С увелич. CLP-680/CLX-6260 3.5K Cyan Aquamarine (Совместимый);
1056;AQ CLT-M506L;Картридж для Samsung CLT-506M увелич. CLP-680/CLX-6260 3.5K Magenta Aquamarine (Совместимы;
1057;AQ CLT-Y506L;Картридж для Samsung CLT-506Y увелич. CLP-680/CLX-6260 3.5K Yellow Aquamarine (Совместимый;
1059;SP68575, SP68575_MSK;Цветной тонер картридж CLT-K508S/ CLT-K508L SP;
1060;1458, BS-SgSCX5312D6;Картридж SCX-5312 CT;
1061;24105, BS-SgSCX-D6345A, CS-S6345;Картридж Colortek Samsung SCX-D6345;
1062;1453, BS-SgML1210/1210D3/4500;Картридж ML-1210/ E210 BS;
1063;17150, CT-ML-6060, GP_ML-6060D6, PL_ML-6060D6;Картридж ML-6060D6;
1064;SP68576, SP68576_MSK;Цветной тонер картридж CLT-C508S/ CLT-C508L SP;
1065;CS-CLT-M508S, SP68578, SP68578_MSK;Картридж лазерный Cactus CS-CLT-M508S пурпурный (2000стр.) для Samsung CLP-670ND;
1066;SP68577, SP68577_MSK;Цветной тонер картридж CLT-Y508S/ CLT-Y508L SP;
1069;135922, DASH0AR152030, SP124136, SP124136_MSK;Тонер-картридж БУЛАТ s-Line AR-152T, AR-168T для Sharp AR-5415, AR-M150 (Чёрный, 8000 стр.;
1071;26615, AR310LT, BS-SH-AR310T, DASHAR5625020;Тонер-картридж БУЛАТ s-Line AR-310T для Sharp AR-5625, AR-M316 (Чёрный, 25000 стр.), совме;
1072;SP124319, SP124319_MSK;Тонер Картридж SP-SH-AR455 SP;
1114;BS-X013R00577, NV-013R00577, SP124191, SP124191_MSK;Копи-картридж NVP совместимый Xerox 013R00577;
1115;19348, CS-WC4150, SP124209, SP124209_MSK;Картридж Colortek Xerox 006R01276 4150;
1116;CS-DUWC4150;Блок фотобарабана Cactus CS-DUWC4150 013R00623 черный ч/б:55000стр. для WorkCentre 4150 Xe;
1117;150209, BS-X113R00755, CS-DU4250, DARXWC4250030;*Восстановленный* Драм-картридж БУЛАТ s-Line 113R00755 для Xerox WC 4250 (80000 стр.), ref;
1118;17004, 98999911010, BS-X106R01476, CS-PH6121B;Картридж 106R01476 BK CS;
1119;17005, 98999911011, BS-X106R01473, CS-PH6121C;Картридж лазерный Cactus CS-PH6121C 106R01473 голубой (2600стр.) для Xerox Phaser 6121/612;
1120;17006, 98999911012, BS-X106R01474, CS-PH6121M;Картридж Colortek Xerox 106R01474 Magenta (6121);
1121;17007, 98999911013, BS-X106R01475, CS-PH6121Y;Картридж лазерный Cactus CS-PH6121Y 106R01475 желтый (2600стр.) для Xerox Phaser 6121/6121;
1123;NV-106R01514Bk;Картридж 106R01514 BK;
1124;NV-106R01511C, SP114292, SP114292_MSK;Картридж 106R01511 C NV;
1131;133503, BS-X006R01401, CS-WC7435M, EARXWC7425030;Картридж лазерный Cactus CS-WC7435M 006R01401 пурпурный (15000стр.) для Xerox WC7435;
1132;133502, BS-X006R01400, CS-WC7435Y, EARXWC7425040;Картридж лазерный Cactus CS-WC7435Y 006R01400 желтый (15000стр.) для Xerox WC7435;
1134;159379, BS-X108R00650, PL_108R00650_BK_Drum;Драм-картридж 108R00650 Black Drum 30000 копий ProfiLine;
1135;108R00647;Барабан 108R00647, голубой;
1136;BS-X108R00648, SP50799, SP50799_MSK;Цветной драм картридж 108R00648 M SP;
1137;BS-X108R00649, PL_108R00649_Y_Drum, SP50800, SP50800_MSK;Драм-картридж 108R00649 Yellow Drum 30000 копий ProfiLine;
1147;BS-X113R00495;Картридж Xerox 113R00495 Принт-картридж для Phaser 5400, 20000 стр.,Blossom;
1148;22960, BS-X006R01237/006R01583, DFRXWC4110050, NV-006R01237;Картридж Colortek Xerox 006R01237 4110/4112;
1151;128016, AT-CF360A/C040 Bk, BFHPLJM553010, BFHPLJM553050;Картридж лазерный Cactus CS-CF360A CF360A черный (6000стр.) для HP CLJ M552dn/M553dn/M553N;
1181;BS-X106R02739, NV-106R02739, SF-106R02739;Картридж Xerox 106R02739 для Phaser 3655X, 14400 стр. Blossom;
1182;AFRXPH4600040, AFRXPH4600090, BS-X113R00762, CS-DUP4600;Блок фотобарабана Cactus CS-DUP4600 113R00762 черный ч/б:80000стр. для Phaser 4600 Xerox;
1188;NV-714;Картридж NVP совместимый NV-714;
1199;NV-92275A;Картридж NVP совместимый NV-92275A;
1215;5899, AFLX0MX310010, BS-Lx60F5H00/ 605H, CS-MX610;Картридж лазерный Cactus CS-MX610 60F5H0E черный (10000стр.) для Lexmark MX510de/511de/511;
1217;NV-006R00916;Картридж NVP совместимый NV-006R00916;
1223;5216210000, BS-LC563BK, PL_LC-563BK_BK, SF-LC563Bk;Blossom BS-LC563BK Струйный картридж для Brother MFC-J2310/J3520/J3720/J2510, Black;
1224;5216220000, BS-LC563C, SF-LC563C;Blossom BS-LC563C Струйный картридж для Brother MFC-J2310/J3520/J3720/J2510, Cyan;
1225;5216230000, BS-LC563M, SF-LC563M;Blossom BS-LC563M Струйный картридж для Brother MFC-J2310/J3520/J3720/J2510, Magenta;
1226;5216240000, BS-LC563Y, SF-LC563Y;Blossom BS-LC563Y Струйный картридж для Brother MFC-J2310/J3520/J3720/J2510, Yellow;
1244;1500-1, SF-T0341Bk;Картридж T0341 Bk SF;
1245;1501-1, SF-T0342C;Картридж T0342 C SF;
