external_code;article;название;источник_возврата
3002;25397;Картридж Colortek Lexmark 20K1400 (C-510) 6k Cyan;
3003;25399;Картридж Colortek Lexmark 20K1401 (C-510) 6k Magenta;
3004;25398;Картридж Colortek Lexmark 20K1402 (C-510) 6k Yellow;
3007;12186-1;$$$_СРОЧНО * СПБ* Картридж Colortek Minolta DU 1100/1200;
3008;119739;Картридж Colortek Oki 14ex/14i/14in 4k;
3011;3074, BS-C-EXV28C, EFCN0C5045020, PL_C-EXV28/GPR-30/NPG-45_C;Тонер-картридж Canon EXV28C для iR ADV C5045/5051/5250/5255, C, 38K, Blossom;
3012;3104, BS-C-EXV28M, PL_C-EXV28/GPR-30/NPG-45_M;Картридж Canon C-EXV28M для iR ADV C5045/5051/5250/5255,magenta, 38000 стр., Blossom;
3013;3098, BS-C-EXV28Y, EFCN0C5045040, PL_C-EXV28/GPR-30/NPG-45_Y;Картридж Canon C-EXV28Y для iR ADV C5045/5051/5250/5255,yellow, 38000 стр., Blossom;
3017;138803, BS-X013R00636, CS-DU7132, EFRXWC7132050;Картридж Xerox 013R00636 для Xerox WC 7132/7232/7242, drum, 80000стр, Blossom;
3023;138312, BS-C-EXV37DU, DFCNIR1730010, DFCNIR1730040;Драм-юнит Canon C-EXV37DU для iR1730/i/iF/1740/i/iF/1750/i/iF,drum, 89500/100000/112000, B;
3031;133241;Картридж Colortek Kyocera DK-1105 (DU);
3033;23056, AFOK00B410010, BS-43979002, BS-43979002/43979002;Картридж OKI B410/430/440/MB460/MB470/MB480,drum, black, 25000стр.,Blossom;
3035;146137, BS-PFI-1000B;Картридж Blossom BS-PFI-1000B Canon ImagePrograf PRO 1000, blue, 80мл;
3036;146138, BS-PFI-1000C;Картридж струйный Colortek Canon PFI-1000C Cyan голубой;
3037;146139, BS-PFI-1000CO;Картридж Canon PFI-1000CO для ImagePrograf PRO 1000, СO, 80мл, Blossom;
3038;146141, BS-PFI-1000M;Картридж струйный Colortek Canon PFI-1000M Magenta;
3039;146142, BS-PFI-1000MBK;Картридж струйный Colortek Canon PFI-1000MBK Matte Black;
3040;146143, BS-PFI-1000PBK;Картридж струйный Colortek Canon PFI-1000PBK Photo Black;
3041;146144, BS-PFI-1000PC;Картридж Blossom BS-PFI-1000PC Canon ImagePrograf PRO 1000, photo cyan, 80мл;
3042;146145, BS-PFI-1000PGY;Картридж Blossom BS-PFI-1000PGY Canon ImagePrograf PRO 1000, photo gray, 80мл;
3043;146147, BS-PFI-1000PM;Картридж Blossom BS-PFI-1000PM Canon ImagePrograf PRO 1000, photo magenta, 80мл;
3044;146148, BS-PFI-1000R;Картридж Blossom BS-PFI-1000R Canon ImagePrograf PRO 1000, red, 80мл;
3045;146149, BS-PFI-1000Y;Картридж Blossom BS-PFI-1000Y Canon ImagePrograf PRO 1000, yellow, 80мл;
3098;CS-X656;Картридж лазерный Cactus CS-X656 X651H21E черный (25000стр.) для Lexmark X651/X652/X654/X6;
