external_code;наш_Д;наш_Ш;наш_В;внеш_Д;внеш_Ш;внеш_В;расхождение_по_сторонам;наш_объём_л;внеш_объём_л;разница_объёма_л;число_источников;группа;карточек_wb_acc1;src_file;src_locator;src_sha256
4159;37.0;15.0;12.0;35.5;20.0;17.0;1.5 / -5.0 / -5.0;6.66;12.07;-5.41;3;В;7;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r289;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4160;37.0;15.0;12.0;56.0;15.0;14.0;-19.0 / 0.0 / -2.0;6.66;11.76;-5.1;2;В;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r698;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4161;47.0;7.0;7.0;58.5;13.5;8.5;-11.5 / -6.5 / -1.5;2.303;6.713;-4.41;2;В;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r626;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4162;7.0;7.0;5.0;58.5;13.5;8.5;-51.5 / -6.5 / -3.5;0.245;6.713;-6.468;2;В;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r636;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4163;7.0;7.0;5.0;58.5;13.5;8.5;-51.5 / -6.5 / -3.5;0.245;6.713;-6.468;2;В;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r635;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4168;36.0;13.0;10.0;36.4;13.6;10.9;-0.4 / -0.6 / -0.9;4.68;5.396;-0.716;2;А;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r741;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4169;36.0;13.0;11.0;36.3;13.6;11.1;-0.3 / -0.6 / -0.1;5.148;5.48;-0.332;2;А;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r744;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4171;56.0;10.0;10.0;59.0;11.0;11.0;-3.0 / -1.0 / -1.0;5.6;7.139;-1.539;1;В;5;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r876;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4173;10.0;9.0;8.0;10.0;9.0;8.5;0.0 / 0.0 / -0.5;0.72;0.765;-0.045;2;А;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1927;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4175;37.0;15.0;12.0;56.0;15.0;14.0;-19.0 / 0.0 / -2.0;6.66;11.76;-5.1;2;В;4;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r647;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
