external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
1606;37.0x20.0x15.0;365.0;277.0;122.0;36.5x27.7x12.2;CS-CLT-M609S;cactus;2;1;cactus,sakura;17.0;нет данных;2;11.1;12.335;-1.235;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r951;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1608;37.0x20.0x15.0;365.0;277.0;122.0;36.5x27.7x12.2;CS-CLT-Y609S;cactus;2;1;cactus,sakura;15.0;нет данных;2;11.1;12.335;-1.235;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r950;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3881;15.0x10.0x8.0;420.0;130.0;40.0;42.0x13.0x4.0;IC-ET05A100;izi;2;1;izi,sakura;15.0;нет данных;2;1.2;2.184;-0.984;;;3;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1505;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
4319;24.0x11.0x4.0;240.0;142.0;58.0;24.0x14.2x5.8;SIC13T693100;sakura;2;2;cactus,sakura;0.0;solutionsprint:30.0;1;1.056;1.977;-0.921;;;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r286;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
5953;50.0x9.0x9.0;550.0;95.0;95.0;55.0x9.5x9.5;CS-THМ348;cactus;2;1;cactus,sakura;10.0;solutionsprint:5.0;2;4.05;4.964;-0.914;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3903;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4486;48.0x20.0x16.0;500.0;240.0;135.0;50.0x24.0x13.5;GG-W2011X;cactus;2;1;cactus,sakura;5.0;solutionsprint:50.0;2;15.36;16.2;-0.84;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3177;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4487;48.0x20.0x16.0;500.0;240.0;135.0;50.0x24.0x13.5;GG-W2012X;cactus;2;1;cactus,sakura;5.0;solutionsprint:50.0;2;15.36;16.2;-0.84;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3178;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4488;48.0x20.0x16.0;500.0;240.0;135.0;50.0x24.0x13.5;GG-W2013X;cactus;2;1;cactus,sakura;5.0;нет данных;2;15.36;16.2;-0.84;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3179;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4753;48.0x20.0x16.0;500.0;240.0;135.0;50.0x24.0x13.5;CS-W2010A;cactus;2;1;cactus,sakura;5.0;нет данных;2;15.36;16.2;-0.84;;;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2576;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4754;48.0x20.0x16.0;500.0;240.0;135.0;50.0x24.0x13.5;CS-W2011A;cactus;2;1;cactus,sakura;5.0;solutionsprint:50.0;2;15.36;16.2;-0.84;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2577;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4755;48.0x20.0x16.0;500.0;240.0;135.0;50.0x24.0x13.5;CS-W2012A;cactus;2;1;cactus,sakura;5.0;solutionsprint:50.0;2;15.36;16.2;-0.84;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2578;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
4756;48.0x20.0x16.0;500.0;240.0;135.0;50.0x24.0x13.5;CS-W2013A;cactus;2;1;cactus,sakura;5.0;нет данных;2;15.36;16.2;-0.84;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2579;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0735;37.0x20.0x15.0;360.0;250.0;130.0;36.0x25.0x13.0;CS-PH3550;cactus;2;1;cactus,sakura;15.0;solutionsprint:16.0;2;11.1;11.7;-0.6;;;2;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r603;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0964;10.0x8.0x5.0;180.0;100.0;55.0;18.0x10.0x5.5;CS-C9371;cactus;2;2;cactus,sakura;0.0;solutionsprint:30.0;1;0.4;0.99;-0.59;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1160;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
