nm_id;vendor_code;card_vol_l;real_vol_l;razdutost_x;qty_mo;log_per_fact;save_per_unit;save_per_month;supplier_article
262192152;4658;0.31;0.24;1.3;3;43;2;6;cactus: CS-M21-500595WT
263819889;0133;0.2;0.09;2.17;2;38;3;6;cactus: CS-CLI521M
199565917;02792;11.1;11.0;1.01;2;310;3;6;изи: TC-S205L
257807198;0822;0.2;0.13;1.5;3;38;2;6;cactus: CS-CLI451GY
563826116;4367;0.36;0.17;2.06;1;51;6;6;cactus: CS-CZ638AE
181116010;3547;11.1;10.93;1.02;1;310;5;5;cactus: CS-B1022
326846207;1484;0.2;0.12;1.65;2;44;2;5;изи: IC-CPGI-1400XL C
209731529;4366;0.33;0.17;1.89;1;113;5;5;cactus: CS-CZ637AE
313193395;3069WUMHWDOW;1.0;0.85;1.18;1;53;4;4;изи: IC-ET9451
265276096;4422;0.47;0.4;1.17;2;86;2;4;profiline: PL_BTD60BK_BK
261996671;0818;0.2;0.1;1.98;1;38;3;3;cactus: GG-CLI451XLBK
257807192;0821;0.2;0.1;1.98;1;38;3;3;cactus: GG-CLI451XLY
257807197;0819;0.2;0.1;1.98;1;38;3;3;cactus: GG-CLI451XLC
257807194;0820;0.2;0.1;1.98;1;38;3;3;cactus: GG-CLI451XLM
272510286;0757;0.2;0.11;1.77;1;38;3;3;cactus: CS-CLI8PC
263821899;3740;0.35;0.26;1.33;1;43;3;3;cactus: CS-M0H56AE
192228101;0823;0.2;0.16;1.25;2;37;1;2;profiline: PL_PGI-450PGBK_BK
209664995;3487;0.32;0.24;1.32;1;43;2;2;изи: IC-CCL446XL
192228116;0139;0.2;0.14;1.44;1;52;2;2;изи: IC-CPGI-5BK
192255559;0160;0.4;0.35;1.14;1;43;1;1;cactus: CS-EPT0925
262870439;5413;0.5;0.47;1.08;1;48;1;1;cactus: GG-GI-41BK
192569031;3053;1.0;0.99;1.01;1;63;0;0;изи: IC-CCLI-481XXL_MP
964953109;45427;3.22;4.64;0.69;8;153;0;0;изи: LH-W1106XXL
216360759;2960;11.1;18.82;0.59;1;311;0;0;изи: DC-CEXV33
181105107;0319;0.2;0.3;0.67;5;38;0;0;изи: IC-H4913
209713600;2860;0.4;0.56;0.72;1;44;0;0;cactus: CS-B3P23A
257807814;4750;4.46;4.76;0.94;1;157;0;0;cactus: CS-TK6330
471272618;5945;1.93;3.0;0.64;1;98;0;0;profiline: GP_C-EXV65_M
964953201;45428;3.22;4.64;0.69;6;128;0;0;изи: LH-W1106XXL
181105105;0343;1.0;1.16;0.87;1;53;0;0;изи: IC-H178XL_MP
192569048;3176;13.82;16.0;0.86;1;373;0;0;profiline: GP_C-EXV54BK/C/M/Y
285168186;5742;4.18;5.05;0.83;1;151;0;0;cactus: CS-THM247
497146391;6408CRUXL645;1.0;1.16;0.87;1;53;0;0;изи: IC-CLI521_SET
199565875;02452;6.72;10.13;0.66;6;323;0;0;изи: TC-B2080
261152042;5223;4.76;5.0;0.95;1;197;0;0;profiline: PL_106R04348
209731248;4266;2.3;3.0;0.77;1;107;0;0;profiline: GP_006R01703_M
397270373;5953;4.05;4.21;0.96;1;178;0;0;sakura: SATHM348
257807831;1215;11.1;12.0;0.92;6;320;0;0;profiline: GP_60F5H0E/60F5H00
209663405;0318;0.2;0.3;0.67;3;38;0;0;изи: IC-H4912
323363928;5549IGFB62N8;0.37;1.25;0.3;1;43;0;0;sakura: SA067Y-ECO
181116622;3029;3.38;3.55;0.95;1;375;0;0;изи: LX-SC2020Y
497146353;6408;1.0;1.16;0.87;1;53;0;0;изи: IC-CLI521_SET
467725369;6058;1.93;3.0;0.64;1;98;0;0;profiline: GP_C-EXV65_C
199565856;02453;6.72;10.13;0.66;2;208;0;0;изи: TC-B2080
468623407;6035;2.42;4.8;0.5;2;109;0;0;изи: LB-2375XL
263820406;0494;0.4;1.2;0.33;1;52;0;0;profiline: PL_T0472_C
199331102;1395;11.1;15.0;0.74;1;310;0;0;sakura: SAMLTD707L
209732908;4736;1.25;1.88;0.66;1;82;0;0;cactus: GG-C13T964140
181105110;0317;0.2;0.3;0.67;6;38;0;0;изи: IC-H4911
264241901;0490;0.4;1.2;0.33;1;36;0;0;profiline: PL_T0442_C
199335335;3913;18.5;20.0;0.93;5;621;0;0;profiline: GP_W2030A-W2033A_BK/C/Y/M
267856815;5698;4.03;5.0;0.81;1;146;0;0;profiline: PL_070H_BK
440332162;4485;13.2;28.0;0.47;6;569;0;0;profiline: GP_CTL-1100XK-XY_BK/C/M/Y
209713082;1531;0.4;0.5;0.8;1;43;0;0;profiline: PL_T0520_C/M/Y
216359925;2611;1.0;1.3;0.77;1;53;0;0;cactus: CS-EPT6641-4
256206881;55972;6.08;6.08;1.0;2;162;0;0;изи: TC-HW1510X
964953034;45426;3.22;4.64;0.69;6;128;0;0;изи: LH-W1106XXL
199335504;4542;3.22;3.87;0.83;11;131;0;0;cactus: CSP-W1106-MPS
216355370;4531;12.0;20.0;0.6;2;331;0;0;profiline: GP_013R00681_Drum
199334822;3257;0.98;0.98;1.0;1;53;0;0;sakura: SAZKPC-211RB
322512652;5806;5.3;5.64;0.94;3;176;0;0;sakura: SATN3600XXL
262192282;4354;0.2;0.35;0.56;1;39;0;0;cactus: GG-3YM75AE
192569225;3902;0.03;0.76;0.04;3;39;0;0;изи: IC-H912XL_MP
257807236;3495;0.4;1.75;0.23;1;46;0;0;изи: IC-CPFI-1700PBK
199335367;4183;6.08;7.0;0.87;1;194;0;0;profiline: GP_CE505XX
211410073;5309;0.98;0.98;1.0;4;86;0;0;sakura: SAZKTN-420H
324993081;5309AEW585GM;0.98;0.98;1.0;7;65;0;0;sakura: SAZKTN-420H
209663362;0842;0.4;1.0;0.4;1;43;0;0;profiline: PL_T7011_BK
313184676;0234NS5NX6ZP;1.2;2.01;0.6;4;82;0;0;изи: LP-411
471271194;5946;1.93;3.0;0.64;3;104;0;0;profiline: GP_C-EXV65_Y
199334133;2357;11.1;12.12;0.92;1;310;0;0;cactus: CS-CF256A
181105237;0962;1.0;1.16;0.87;1;53;0;0;изи: IC-H711_MP
