account;sku;offer_id;decl_vol_l;real_vol_l;qty_june;overpay_rub_mo
oz_acc1;1999437759;5969;4.48;2.81;2;25
oz_acc1;653209768;0858;6.85;3.79;1;23
oz_acc2;1883170609;3431OELZJTRE;6.85;3.88;1;23
oz_acc1;1155651311;3911;6.66;3.71;1;22
oz_acc1;653076881;3434;6.85;3.96;1;22
oz_acc1;863386008;5339;7.15;6.16;3;22
oz_acc2;1873187206;0857MBUIY64M;6.85;3.97;1;22
oz_acc1;1987412088;5626;5.76;5.36;7;21
oz_acc1;653119669;0859;6.85;4.03;1;21
oz_acc1;1155648807;0117;2.52;2.23;9;20
oz_acc1;2522862925;6206;5.38;2.98;1;18
oz_acc2;1883148009;5340YNG686UM;7.15;4.83;1;18
oz_acc1;874377460;4292;5.4;3.36;1;16
oz_acc1;1775320318;5781;10.34;9.36;2;15
oz_acc1;930623519;2286;3.86;1.87;1;15
oz_acc2;2681743534;6402KZREKLRR;4.33;2.43;1;14
oz_acc2;1822597328;0022HDMF8QZ9;7.15;5.49;1;13
oz_acc2;1883154245;3532Y06YBLDP;11.1;9.76;1;10
oz_acc2;2681730433;6400WSWJYDDR;4.33;3.3;1;8
oz_acc2;2681735081;6401OUYKSFHU;4.33;3.3;1;8
oz_acc2;2681761215;6403M833D4CN;4.33;3.3;1;8
oz_acc1;1760574650;5768;4.16;3.3;1;7
oz_acc1;1760597241;5769;4.16;3.3;1;7
oz_acc1;1760605509;5770;4.16;3.3;1;7
oz_acc1;652356516;0741;7.15;6.25;1;7
oz_acc2;1873148476;0825TVETLVA0;4.42;3.47;1;7
oz_acc2;1888908099;3743W1DRDAJ5;11.1;10.17;1;7
oz_acc1;653039783;0852;6.85;6.07;1;6
oz_acc1;1692504266;5621;5.78;5.44;2;5
oz_acc1;904472946;1189;4.39;3.72;1;5
oz_acc2;2241736434;5621VZV6FPEI;5.78;5.44;1;3
oz_acc1;652554832;1193;11.1;11.06;2;1
oz_acc2;1822891597;0119LK2S6ZPF;2.52;2.4;1;1
